Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
27/08/2026,27/08/2026,NEFT-RAZORPAY-setl_4a78c114ef4545-769405888949,769405888949,0.00,945.64,278764.86
28/08/2026,28/08/2026,NEFT-RAZORPAY-setl_e33fc96b50eb49-463792410334,463792410334,0.00,1384.06,280148.92
29/08/2026,29/08/2026,NEFT-RAZORPAY-setl_50f0ef2858654c-100650477421,100650477421,0.00,3789.36,283938.28
30/08/2026,30/08/2026,NEFT-RAZORPAY-setl_33cac6977e6f4b-714474826986,714474826986,0.00,4207.31,288145.59
30/08/2026,30/08/2026,NEFT-RAZORPAY-setl_92722e5b21fb4a-890127417746,890127417746,0.00,949.25,289094.84
31/08/2026,31/08/2026,NEFT-RAZORPAY-setl_48b27703688c4e-344130946352,344130946352,0.00,826.66,289921.50
31/08/2026,31/08/2026,NEFT-RAZORPAY-setl_a43bd1f3c8b64e-747795586669,747795586669,0.00,2370.23,292291.73
02/09/2026,02/09/2026,NEFT-REFUND-setl_91399b58ef114b-187710983077,187710983077,2427.52,0.00,289864.21
01/09/2026,01/09/2026,NEFT-RAZORPAY-setl_43c6cf01aeb545-239496685467,239496685467,0.00,1770.01,291634.22
03/09/2026,03/09/2026,NEFT-REFUND-setl_7b4a7268ec1f4a-352506084325,352506084325,1812.80,0.00,289821.42
